symbol,line,date,sampleID,scene,shape,size,stack,gfp,brDisc,brDisc_gfp,brDisc_gfpNEG,KDtoWT
Chd1,34665,210512,Chd1_34665_210512,Series002,1.3.10.1024.1024,1024x1024,10,29.104884147644043,40.46896266937256,19.084527015686035,15.056326866149902,1.267542023054272
Chd1,34665,210512,Chd1_34665_210512,Series003,1.3.10.1024.1024,1024x1024,10,29.357192993164062,22.751601219177246,10.400586128234863,8.271721839904785,1.2573665228997333
Chd1,34665,210512,Chd1_34665_210512,Series004,1.3.10.1024.1024,1024x1024,10,29.358342170715332,20.09506130218506,8.491268157958984,7.782313346862793,1.0910982094266335
Chd1,34665,210512,Chd1_34665_210512,Series005,1.3.10.1024.1024,1024x1024,10,23.675569534301758,24.61297607421875,4.262359619140625,6.042239189147949,0.7054271579973127
Nlp,33688,210304,Nlp_33688_210304,Series001,1.3.10.1024.1024,1024x1024,10,41.67550849914551,38.49136829376221,15.379485130310059,17.043621063232422,0.9023601893782804
Nlp,33688,210304,Nlp_33688_210304,Series002,1.3.10.1024.1024,1024x1024,10,29.223048210144043,47.79441738128662,22.174406051635742,19.993226051330566,1.1090959505337068
Nlp,33688,210304,Nlp_33688_210304,Series003,1.3.10.1024.1024,1024x1024,10,36.63790512084961,32.97421646118164,13.199951171875,14.880265235900879,0.8870776805797878
Nlp,33688,210304,Nlp_33688_210304,Series004,1.3.10.1024.1024,1024x1024,10,32.25183582305908,25.87003993988037,11.594422340393066,7.695783615112305,1.5065941196196002
Nlp,33688,210304,Nlp_33688_210304,Series005,1.3.10.1024.1024,1024x1024,10,34.05579853057861,44.175846099853516,19.653252601623535,18.744483947753906,1.0484819244105423
Etl1,33891,210304,Etl1_33891_210304,Series001,1.3.10.1024.1024,1024x1024,10,36.599294662475586,39.17432880401611,16.138614654541016,17.04050350189209,0.9470738146175708
Etl1,33891,210304,Etl1_33891_210304,Series002,1.3.10.1024.1024,1024x1024,10,33.576290130615234,37.07430458068848,14.302016258239746,16.595407485961914,0.861805669450289
